id,title,original_title,year,poster_title_guess_pro,reason_pro,poster_title_guess_sonnet,reason_sonnet,ocr_chars,overlap_max,imdb_id,poster_path
254701,The Mask of Love,The Mask of Love,2012,不死咒怨,"Poster is for a different film with Chinese title, not matching 'The Mask of Love'.",鬼女 (Ghost Woman),"Poster displays Chinese characters and appears to be for a Chinese horror film, not an English-language 2012 film titled 'The Mask of Love'.",84,0.0,tt3425640,/laWI93XRbbI2qEnAFPETLUkNwD5.jpg
257275,The Night Comes Too Soon,The Night Comes Too Soon,1946,The Ghost of Rashmon Hall,Poster title does not match catalog film title.,The Ghost of Rashmon Hall,Poster clearly shows title 'The Ghost of Rashmon Hall' which does not match catalog entry 'The Night Comes Too Soon'.,25,0.2,tt0039658,/5cbhJNkBnonH6qJQgMDyc2qf0Eb.jpg
258726,The Game,Il gioko,1989,School of Fear,Poster title 'School of Fear' does not match catalog title 'The Game'.,School of Fear,"Poster clearly shows title 'School of Fear' and credits 'a Lamberto Bava film', not matching catalog entry 'The Game' (1989).",35,0.0,tt0273627,/cdyvTnRAOxVbQfRtV7pT6rhzHkK.jpg
259828,Bloodless,Bloodless,2014,Vampires,"The poster clearly shows the title 'Vampires', which does not match the catalog film 'Bloodless'.",VAMPIRES,Poster clearly displays the title 'VAMPIRES' which does not match the catalog film 'Bloodless' from 2014.,55,0.0,tt1645184,/474HmunD3keIwtapMuRdTKB2pPF.jpg
260824,Under Surveillance,Under Surveillance,2006,Dark Chamber,"Poster clearly shows 'Dark Chamber', not 'Under Surveillance'.",Dark Chamber,Poster clearly shows title 'DARK CHAMBER' which does not match catalog entry 'Under Surveillance'.,203,0.0,tt0287072,/kdgMFG1sY3oXPDoYelHCgKa8qqP.jpg
262919,Catacombs,Catacombs,1964,The Woman Who Wouldn't Die,"The poster clearly shows a different title, 'The Woman Who Wouldn't Die', which does not match the catalog film 'Catacombs'.",The Woman Who Wouldn't Die,Poster clearly shows title 'The Woman Who Wouldn't Die' which does not match catalog film 'Catacombs' from 1964.,79,0.0,tt0057926,/jaMF5hgc9U11vrbVEdFmsHA2nVJ.jpg
265321,A Shred Of Mist,A Shred Of Mist,,Jiron de Niebla,"The poster clearly shows the title 'Jiron de Niebla', which does not match the catalog film title 'A Shred Of Mist'.",JIRÓN DE NIEBLA,Poster clearly shows Spanish title 'JIRÓN DE NIEBLA' which does not match catalog entry 'A Shred Of Mist'.,240,0.3333,,/1cy71eeNjdhbTZSVkOa24fsAHyQ.jpg
272100,Supernatural,Sobrenatural,1982,Return of the Poltergeist,"The poster clearly shows a different title, 'Return of the Poltergeist', which does not match the catalog film 'Supernatural'.",RETURN OF THE POLTERGEIST,"Poster clearly shows 'RETURN OF THE POLTERGEIST' title, not matching the 1982 Spanish film 'Sobrenatural/Supernatural'.",25,0.0,tt0083101,/u56mJuKMXK9adQYv1PxZlo8r1mi.jpg
273418,Killer Dead,Killer Dead,1992,Non-Vegetarian Zombies From Outer Space,"The poster clearly shows a different title, 'Non-Vegetarian Zombies From Outer Space', which does not match 'Killer Dead'.",Non-Vegetarian Zombies from Outer Space,Poster clearly shows title 'Non-Vegetarian Zombies from Outer Space' which does not match catalog entry 'Killer Dead'.,94,0.0,tt3771464,/mYuEWRvrxGKHGPzdxXY00rGRJHC.jpg
273946,Hostage,Hostage,2013,Entity,"The poster clearly shows the title 'Entity', which does not match the catalog film 'Hostage'.",ENTITY,"Poster clearly shows title 'ENTITY' with 'DIRECTOR'S CUT' subtitle, not 'Hostage'.",222,0.0,tt2099633,
275203,Locked in a Room,Locked in a Room,2012,AMERICAN LIAR,"Poster clearly shows a different title, 'AMERICAN LIAR', not 'Locked in a Room'.",American Liar,"Poster clearly shows title 'American Liar' with cast names, completely different from catalog entry 'Locked in a Room' (2012).",88,0.0,tt1640219,/jdlC72Q6uD5ZaowkxUYpjxYwaKp.jpg
276692,Natural Selection,Natural Selection,1994,Dark Reflection,"The poster clearly shows the title 'Dark Reflection', which does not match the catalog film 'Natural Selection'.",DARK REFLECTION,"Poster clearly shows title 'DARK REFLECTION' with C. Thomas Howell, not 'Natural Selection'.",191,0.0,tt0109547,/kmK64pGj3qJov5PHzA5wlcy1KNG.jpg
277506,Invicta,Invicta,2009,Killer Ants,"The poster clearly shows the title 'Killer Ants', which does not match the catalog film 'Invicta'.",KILLER ANTS,Poster clearly shows title 'KILLER ANTS' which does not match catalog entry 'Invicta' from 2009.,36,0.0,tt1536019,/kaGpoLrYh8EOVu16zJA7iiwXSPw.jpg
280928,A Chilling Cosplay,制服,2013,-197°C Murder,The poster clearly shows a different title and imagery unrelated to 'A Chilling Cosplay'.,水裸殺 -197°C Murder,Poster shows title '水裸殺' (Water Naked Murder) which does not match catalog title '制服' (Uniform/A Chilling Cosplay).,187,0.0,tt3341088,/o9ROr30gNeL8dRWZSMwyvR9SWw7.jpg
283783,Serenity Farm,Serenity Farm,2014,3 TUNNELS 2 HELL,"Poster clearly shows a different title, '3 Tunnels 2 Hell', not 'Serenity Farm'.",3 Tunnels 2 Hell,Poster clearly shows title '3 Tunnels 2 Hell' which does not match catalog entry 'Serenity Farm'.,36,0.0,tt1985195,
286681,Vayanadan Thampan,വയനാടൻ തമ്പാൻ,1978,Pyasa Shaitan,"The poster clearly shows the title 'Pyasa Shaitan', which does not match the catalog film 'Vayanadan Thampan'.",PYASA SHAITAN,"Poster clearly shows 'PYASA SHAITAN' in large text, which is a different film title than 'Vayanadan Thampan', and appears to be in Hindi/Urdu rather than Malayalam.",216,0.0,tt0268740,/boYm1heIyLu0p2E335z3DPiNc49.jpg
287258,Viola,Viola,1967,And Graves Give Up Their Dead,"The poster clearly shows a different title, unrelated to 'Viola'.",AND GRAVES GIVE UP THEIR DEAD,"This is clearly a book cover for a horror anthology edited by Frederick Pickersbill, not a 1967 film titled Viola.",144,0.0,tt2315400,
289476,Kill Me Tomorrow,Kill Me Tomorrow,2005,La Sorcière de Mountain Glenn,Poster title is in French and does not match the catalog film title.,La Sorciere de Mountain Glenn,Poster clearly shows French title 'La Sorciere de Mountain Glenn' which does not match 'Kill Me Tomorrow' and appears to be a different film entirely.,59,0.0,tt0275455,/dnLLx5mJ536VEH6YgnFUNAlyJiP.jpg
290696,Dysmorphia,Dysmorphia,2014,Treasure Chest of Horrors 3,"The poster clearly displays a different title, 'Treasure Chest of Horrors 3', which does not match the catalog film 'Dysmorphia'.",TREASURE CHEST OF HORRORS 3,Poster clearly displays 'TREASURE CHEST OF HORRORS 3' which is a different film than 'Dysmorphia' (2014).,26,0.0,tt2363481,/eUvwLaOeMRdau1UNdGCB2Jngpyz.jpg
290732,VIViD,VIViD,2011,wonderland,poster title 'wonderland' does not match catalog title 'VIViD',WONDERLAND,"Poster clearly displays title 'WONDERLAND' with tagline 'A ONE WAY TRIP', not 'VIViD' from 2011.",26,0.0,tt1735233,/rRe20MjzhWKVBZMUolgpkEiq4ym.jpg
292227,Night is the Time For Killing,Night is the Time For Killing,1975,Murder on the Midnight Express,Poster clearly advertises a different film with a distinct title.,Murder on the Midnight Express,Poster clearly shows title 'Murder on the Midnight Express' which does not match catalog film 'Night is the Time For Killing'.,120,0.3333,,/mqkxympXKa2gsHfQ6KCRPY8Ts92.jpg
294488,Maniac Too!,Maniac Too!,,Vault of Terror,"The poster clearly states 'Vault of Terror', which does not match the catalog film 'Maniac Too!'.",VAULT OF TERROR,"Poster clearly shows title 'VAULT OF TERROR' by Sean Weathers, not 'Maniac Too!'",98,0.0,,/uwWcnJvOi3e6y3n1kv6pt0GP9lQ.jpg
299637,Masseur’s Curse,怪談累が渕,1970,Ghost of Kasane Swamp,"The poster clearly displays the title 'Ghost of Kasane Swamp', which does not match the catalog film 'Masseur’s Curse'.",Ghost of Kasane Swamp,"Poster clearly shows 'Ghost of Kasane Swamp' by Kimiyoshi Yasuda, not 'Masseur's Curse' (怪談累が渕).",57,0.0,tt0065931,
300817,Graves & Bones,Grafir og bein,2014,"Korean text, not Graves & Bones","The poster is for a Korean film, not the Icelandic film Graves & Bones.",그레이브스 하우스,"Poster shows Korean text and appears to be for a Korean horror film, while catalog entry is an Icelandic film from 2014.",69,0.0,tt2731308,/gA2YuVt24Hfm0ihFMC1hcmcIBjj.jpg
302038,An Erotic Tale of Ms. Dracula,An Erotic Tale of Ms. Dracula,,Ghost Bride of Dracula,The title on the poster does not match the catalog film title.,Ghost Brides of Dracula,Poster clearly shows title 'Ghost Brides of Dracula' which does not match catalog entry 'An Erotic Tale of Ms. Dracula'.,44,0.3333,,/rrZ4NBhe9auBM4FB02t51koz4Xq.jpg
302512,Awaken the Devil,Awaken the Devil,,An Anti American,"The title on the poster is 'An Anti American', which does not match the catalog film title 'Awaken the Devil'.",An Anti American,Poster clearly shows title 'An Anti American' which does not match catalog entry 'Awaken the Devil'.,455,0.3333,,/uducCd6iOb5eBaQm18ouZ6aRlmM.jpg
303898,Cut Throat,Cut Throat,2002,Scared,"The poster clearly shows the title 'Scared', which does not match the catalog film 'Cut Throat'.",SCARED,"Poster clearly shows the title 'SCARED' with tagline 'IT'S A SCREAM', not 'Cut Throat'.",98,0.0,tt0289770,/xNnmuiypUYphkSQRXWAeKDBGfNl.jpg
308135,Cryptid,Cryptid,2006,Primitive,"The poster clearly shows the title 'Primitive', which does not match the catalog film 'Cryptid'.",Primitive,"Poster clearly shows title 'Primitive' with cast names Lori Petty, Petey Pablo, and Colin Moss, not 'Cryptid'.",532,0.0,tt0832292,/wSODkEM8hm952IXZI73mwBVdJmL.jpg
308421,Somebody's There,Somebody's There,2013,The Pigman Murders,"The poster clearly displays a different title, 'The Pigman Murders', which does not match 'Somebody's There'.",The Pigman Murders,"Poster clearly displays 'THE PIGMAN MURDERS' as the title, which does not match 'Somebody's There'.",98,0.0,tt2176874,/7jV3PYF3sQ2CVRDsIlpUdtNsUUg.jpg
309063,The Ouija Experiment 2: Theatre of Death,The Ouija Experiment 2: Theatre of Death,2015,The Ouija Resurrection,The poster title 'The Ouija Resurrection' does not match the catalog title 'The Ouija Experiment 2: Theatre of Death'.,Ouija Resurrection,Poster clearly shows title 'OUIJA RESURRECTION' which does not match catalog entry 'The Ouija Experiment 2: Theatre of Death'.,50,0.1667,tt3727824,/o3VMaDXxXc8VwvvX82sd418HCcx.jpg
321768,Captive,Captive,2014,24 Hours to Die,"The poster clearly shows a different title, '24 Hours to Die', which does not match the catalog film 'Captive'.",24 Hours to Die,Poster clearly shows title '24 Hours to Die' which does not match catalog film 'Captive' (2014).,37,0.0,tt3747550,/fJByYakjLIt9X2pQJtRDqStkMmQ.jpg
322858,The Third Sex,The Third Sex,1934,CHILDREN OF LONELINESS,"The poster clearly shows a different title, 'Children of Loneliness', which does not match 'The Third Sex'.",CHILDREN OF LONELINESS,Poster clearly displays title 'CHILDREN OF LONELINESS' which does not match catalog entry 'The Third Sex'.,22,0.0,tt0053353,/snzSFKPWUMFONxYbhivnDkEXnIO.jpg
328939,Cheerleader Camp 2 the Death,Cheerleader Camp 2 the Death,2023,Summerhouse Slaughter,"The poster clearly shows 'Summerhouse Slaughter', which does not match the catalog film 'Cheerleader Camp 2 the Death'.",Summerhouse Slaughter,Poster clearly shows title 'Summerhouse Slaughter' which does not match catalog entry 'Cheerleader Camp 2 the Death'.,21,0.0,tt4354146,/pfvC8rWfo2disdbV6PpdEAwSCm4.jpg
332689,Playing with Dolls,Playing with Dolls,2015,Metalface,"The title on the poster is 'Metalface', which does not match the catalog film 'Playing with Dolls'.",METALFACE,Poster clearly shows title 'METALFACE' which does not match catalog film 'Playing with Dolls'.,54,0.0,tt4145836,/3ZkvAVrjhaYgdf0T1e8Hcqq3AQE.jpg
336107,Meat the Jones,Meat the Jones,,Get Out of the House,"The poster clearly shows a different title, 'Get Out of the House', which does not match 'Meat the Jones'.",GET OUT OF THE HOUSE,Poster clearly shows title 'GET OUT OF THE HOUSE' which does not match catalog entry 'Meat the Jones'.,20,0.3333,,/rOVg9nIwjwcfNqEdGrfN331D8XT.jpg
343336,Plot 7,Plot 7,2007,Cemitério Macabro,"The poster clearly shows a different title 'Cemitério Macabro', which does not match the catalog film 'Plot 7'.",CEMITERIO MACABRO,Poster clearly shows title 'CEMITERIO MACABRO' which does not match 'Plot 7'.,94,0.0,tt0859627,
347438,Kamara Kattu,கமரகட்டு,2015,Bidaai,"The poster clearly shows the title 'Bidaai', which does not match the catalog film 'Kamara Kattu'.",Kattu Mela,Poster clearly shows different Tamil title text that does not match Kamara Kattu/கமரகட்டு.,255,0.0,tt4701672,/jOrmemeTahRUISXsif2eq4LJUAB.jpg
347855,Curtain,Curtain,2015,The Gateway,"The poster clearly shows the title 'The Gateway', which does not match the catalog film 'Curtain'.",THE GATEWAY,Poster clearly shows title 'THE GATEWAY' which does not match catalog film 'Curtain' from 2015.,47,0.0,tt3118442,/qVoBlKoBg4xfnBP6lIuozzQPAsi.jpg
354386,Turnover,夜籃人靜,2014,Phyu Phyu,"The poster clearly shows the title 'Phyu Phyu', which does not match the catalog film 'Turnover'.",3 Doors of Horrors,Poster clearly shows '3 Doors of Horrors' title which does not match catalog film 'Turnover' (夜籃人靜).,53,0.0,tt6494502,
359056,Primordial,Primordial,2015,Violent Instinct,"The poster clearly displays the title 'Violent Instinct', which does not match the catalog film 'Primordial'.",VIOLENT INSTINCT,Poster clearly displays title 'VIOLENT INSTINCT' which does not match catalog film 'Primordial'.,21,0.0,tt4483960,/bwXwUdpBsB5rav8ij0cMDsjppNx.jpg
362807,Paranoid,Paranoid,,FRIGHTMARE,"The poster clearly shows the title 'FRIGHTMARE', which does not match the catalog film 'Paranoid'.",FRIGHTMARE,Poster clearly displays the title 'FRIGHTMARE' which does not match the catalog entry 'Paranoid'.,36,0.0,,/cM7MXLsK2wCBPOaS0Kx4lGF3GwO.jpg
366071,Enchiridion,Enchiridion,2012,Bloodsucker's Handbook,"The poster clearly shows a different title, 'Bloodsucker's Handbook', which does not match the catalog film 'Enchiridion'.",Bloodsucker's Handbook,Poster clearly shows title 'Bloodsucker's Handbook' which does not match catalog entry 'Enchiridion'.,46,0.0,tt2279314,/g4vuzLgXCsQkv81NSuIZGtj3msf.jpg
373027,Geheimnisvolle Freundinnen,Geheimnisvolle Freundinnen,2003,Frat House Massacre,"The poster clearly shows the title 'Frat House Massacre', which is different from 'Geheimnisvolle Freundinnen'.",FRAT HOUSE MASSACRE,Poster clearly shows 'FRAT HOUSE MASSACRE' (English horror film) while catalog entry is 'Geheimnisvolle Freundinnen' (2003 German film).,76,0.0,tt0377965,/74f7Rw352pLOy5SINVfZ77HnfTy.jpg
379100,M is for Merry Christmas,M is for Merry Christmas,2013,The ABCs of Death,"The poster clearly displays 'The ABCs of Death', not 'M is for Merry Christmas'.",THE ABCs OF DEATH,"Poster clearly shows 'THE ABCs OF DEATH' title with '26 DIRECTORS | 26 WAYS TO DIE', which is a different anthology film from 'M is for Merry Christmas'.",127,0.0,,/dQED4TeHOkZ5MXV7ipMRkqkssYO.jpg
382052,Not Alone,Not Alone,2015,The Haunting of Ellie Rose,"The poster clearly shows a different title, 'The Haunting of Ellie Rose', which does not match the catalog film 'Not Alone'.",The Haunting of Ellie Rose,Poster clearly displays title 'The Haunting of Ellie Rose' which does not match catalog entry 'Not Alone'.,26,0.0,tt1517228,/6WJGrYga0zshLeu5QkZ5r4EJadm.jpg
385378,Gemini,Gemini,2014,Deadly Famous,"The poster clearly shows the title 'Deadly Famous', which does not match the catalog film 'Gemini'.",DEADLY FAMOUS,Poster clearly shows title 'DEADLY FAMOUS' which does not match catalog entry 'Gemini' (2014).,120,0.0,tt3659278,/bzqJHC48CWmGEJ0CemZ2co9jNSx.jpg
385502,The Human Quality,The Human Quality,2000,Flesh Hunters,"The poster clearly displays the title 'Flesh Hunters', which does not match 'The Human Quality'.",FLESH HUNTERS,Poster clearly displays title 'FLESH HUNTERS' which does not match catalog entry 'The Human Quality'.,51,0.0,tt0233900,
392051,The Damned Thing,The Damned Thing,2014,HOTEL HELL,"The poster clearly shows the title 'HOTEL HELL', which does not match the catalog film 'The Damned Thing'.",HOTEL HELL,Poster clearly displays 'HOTEL HELL' title which does not match 'The Damned Thing' catalog entry.,52,0.0,tt3748076,/sBFrsu3rkozZvJTdJMwtbCr0VM2.jpg
398656,Possessed,Possessed,2013,Wat Won,"The title 'Wat Won' is clearly visible on the poster, which does not match the catalog film 'Possessed'.",Thai title visible in stylized text,"Poster shows Thai language text and appears to be a Thai romantic comedy with a van/group setting, not matching the 2013 English horror film 'Possessed'.",199,0.0,tt3175554,/yPE1T5O4COQ9nN2iHVLsPctzYqf.jpg
404206,The Music of Jo Hyeja,The Music of Jo Hyeja,2012,H.P. Lovecraft Film Festival Classics Vol 1,"The poster clearly advertises a collection of short films from the H.P. Lovecraft Film Festival, not 'The Music of Jo Hyeja'.",H.P. Lovecraft Film Festival Classics Vol 1 Short Film Collection,"Poster clearly shows H.P. Lovecraft Film Festival branding and is a short film collection, not a 2012 film titled 'The Music of Jo Hyeja'.",63,0.0,tt2603606,/1aL2kLtwpFHN59Y5jtE3Yn4gT7D.jpg
404713,Downhill,Downhill,2016,Wrong Trail,"The poster clearly shows the title 'Wrong Trail', which does not match the catalog film 'Downhill'.",WRONG TRAIL,Poster clearly shows title 'WRONG TRAIL' which does not match catalog film 'Downhill' from 2016.,65,0.0,tt3684500,/4tEdLXx2lW3w8SBnsgRyLIwqF0l.jpg
406582,Delirium,Delirium,2015,The Haunting of Emily,"The poster clearly shows a different title, 'The Haunting of Emily', which does not match the catalog film 'Delirium'.",THE HAUNTING OF EMILY,Poster clearly displays title 'THE HAUNTING OF EMILY' which does not match catalog entry 'Delirium' from 2015.,21,0.0,tt2322415,/pTRhNMh7ndYFVfG4Qhjqgu7WDqb.jpg
410464,Wild Things,Les petites sauvages,1982,Habitacion Prohibida,The poster clearly shows a different title and imagery unrelated to 'Wild Things'.,HABITACION PROHIBIDA,Poster clearly shows Spanish title 'HABITACION PROHIBIDA' which does not match 'Wild Things' or 'Les petites sauvages'.,100,0.0,tt0258022,
412471,Dark Silence,Dark Silence,2016,The Blind King,"The poster clearly displays the title 'The Blind King', which does not match the catalog film 'Dark Silence'.",The Blind King,Poster clearly shows title 'The Blind King' which does not match catalog entry 'Dark Silence'.,75,0.0,tt4951834,/pBP8eWb66SGbWtDMAMYghrqrJId.jpg
412998,Mo,மோ,2016,Gho,Poster title 'Gho' does not match catalog title 'Mo'.,Ezra,"Poster clearly shows title 'Ezra' with writer/director Shivam Nallat, not matching catalog film 'Mo' from 2016.",538,0.0,tt6354638,/cY71cdcxk3GWIFrRDnEkUt9ysX6.jpg
415852,Blood Church,Blood Church,1992,Heartland of Darkness,"The poster clearly displays the title 'Heartland of Darkness', which does not match the catalog film 'Blood Church'.",Heartland of Darkness,Poster clearly displays title 'Heartland of Darkness' which does not match catalog entry 'Blood Church'.,21,0.0,tt0191010,/zlIa027GbOplbDef65B8dqRKowy.jpg
417180,Vacant House,Vacant House,2016,The Haunting at Woodland Hills,The poster clearly shows a different title than 'Vacant House'.,Haunting at Woodland Hills,Poster clearly shows title 'Haunting at Woodland Hills' which does not match catalog entry 'Vacant House'.,50,0.0,tt1523575,/ewu8e5WyLE91426VmqgQaoePlRI.jpg
418450,Grave Walkers,Grave Walkers,2015,Live-Evil,"The poster clearly shows the title 'Live-Evil', which does not match 'Grave Walkers'.",LIVE-EVIL,"Poster clearly shows title 'LIVE-EVIL' at bottom, not 'Grave Walkers'.",433,0.0,tt3063072,
419018,Pearlies,Pearlies,2016,Quenottes,"The title 'Quenottes' is clearly visible on the poster, which does not match the catalog film 'Pearlies'.",Quenottes,"Poster clearly shows French title 'Quenottes' with French credits, not 'Pearlies' (2016, English language).",709,0.0,tt5434334,
421490,Tall Men,Tall Men,2016,152 Customer,The poster clearly shows a different title '152 Customer' and has no relation to 'Tall Men'.,Customer 152,Poster clearly shows title 'Customer 152' which does not match catalog entry 'Tall Men'.,489,0.0,tt5613902,/7UIPssW5B21uBAtQ2mojAJpm7oJ.jpg
424078,Spirits,Spirits,2014,Ouija Death Trap,"The poster clearly shows the title 'Ouija Death Trap', which does not match the catalog film 'Spirits'.",OUIJA DEATH TRAP,Poster clearly shows title 'OUIJA DEATH TRAP' which does not match catalog entry 'Spirits' from 2014.,75,0.0,tt3573110,/22aTJitI74odsnxVr9uIsuuA55V.jpg
434230,Disturbed,Disturbed,2017,SOTERIA,"The poster clearly shows the title 'SOTERIA', which does not match the catalog film 'Disturbed'.",SOTERIA,Poster clearly displays the title 'SOTERIA' which does not match the catalog film 'Disturbed'.,123,0.0,tt3128668,
440659,Catalina,Catalina,2016,evil will consume you,poster text does not match catalog film title,EVIL WILL CONSUME YOU,"Poster displays text 'EVIL WILL CONSUME YOU' with no mention of 'Catalina', clearly different film artwork.",21,0.0,tt6057200,
459220,Shockwave,Shockwave,2016,Onda de Choque,"The poster clearly shows a different title 'Onda de Choque', not 'Shockwave'.",ONDA DE CHOQUE,"Poster shows Spanish title 'ONDA DE CHOQUE' with different actors (Ríos de Alen, Angie Velazquez) and appears to be a different production entirely.",173,0.0,tt4183216,/csqybkX4q5PcJTkkjmsUpWCdiYU.jpg
461724,The Spirits of Jupiter,The Spirits of Jupiter,1984,PLANET GONE MAD,"The poster clearly shows a different title, 'PLANET GONE MAD', which does not match 'The Spirits of Jupiter'.",PLANET GONE MAD,Poster clearly shows title 'PLANET GONE MAD' which does not match 'The Spirits of Jupiter'.,50,0.0,tt0836701,/73LRallDsuMPYspHJyxffssqK7b.jpg
465177,Meltdown,Meltdown,2014,BERSERKERS,"The poster clearly shows the title 'BERSERKERS', which does not match the catalog film 'Meltdown'.",BERSERKERS,Poster clearly displays title 'BERSERKERS' which does not match catalog entry 'Meltdown'.,37,0.0,tt3891156,/xRtyCI1AcI2igXC0rX2pzm0j1b5.jpg
466677,Dead South,Dead South,2017,Vampire Wars,"The poster clearly shows the title 'Vampire Wars', which does not match the catalog film 'Dead South'.",VAMPIRE WARS,"Poster clearly shows title 'VAMPIRE WARS' with tagline about Lincoln's Army, not 'Dead South'.",47,0.0,tt2106616,/tSWIERDkhExNRGhg1rZYm6R8hJX.jpg
468609,No Tomorrow,No Tomorrow,2002,Bludgeoned,"The poster clearly shows the title 'Bludgeoned', which does not match the catalog film 'No Tomorrow'.",Bludgeoned,"Poster clearly shows title 'Bludgeoned' with tagline 'Dreams Can Kill', not 'No Tomorrow'.",79,0.0,tt0309918,
477115,Rasathi Varum Naal,ராசாத்தி வரும் நாள்,1991,PYAST CHUDAIL,"The poster clearly shows a different title, 'PYAST CHUDAIL', which does not match 'Rasathi Varum Naal'.",PYASI CHUDAIL,Poster clearly shows Hindi title 'PYASI CHUDAIL' which does not match the Tamil film 'Rasathi Varum Naal' from 1991.,68,0.0,tt3713326,/5Sfaq4pa2KjUZUXg5Fk4h7TFAjX.jpg
477576,DeadThirsty,DeadThirsty,2017,Rave Party Massacre,"The poster clearly shows a different title, 'Rave Party Massacre', which does not match the catalog film 'DeadThirsty'.",RAVE PARTY MASSACRE,Poster clearly displays title 'RAVE PARTY MASSACRE' which does not match catalog entry 'DeadThirsty'.,60,0.0,tt6322522,/yHKu3ntOnRyt8qZdeU35otnviIC.jpg
486684,Aux,Aux,2018,Soldier of War,"The poster clearly displays the title 'Soldier of War', which does not match the catalog film 'Aux'.",SOLDIER OF WAR,Poster clearly shows title 'SOLDIER OF WAR' with tagline 'HOW DO YOU FIGHT THE UNDEAD?' which does not match catalog film 'Aux'.,44,0.0,tt4443974,/6jPaPjzgbSUwfkyJKV4SpzWMJWH.jpg
489454,The Devil's Warehouse,The Devil's Warehouse,2016,HIM,"The poster clearly shows the title 'HIM', which does not match 'The Devil's Warehouse'.",HIM,"Poster clearly shows title 'HIM' with tagline 'IT'S TIME TO PLAY', which does not match 'The Devil's Warehouse' from 2016.",93,0.3333,tt6268594,/3z647nj8eUPBRpNZaBvy6W3cJCF.jpg
492535,Darkness Wakes,Darkness Wakes,2017,The Sitter,"The poster clearly shows the title 'The Sitter', which does not match the catalog film 'Darkness Wakes'.",THE SITTER,Poster clearly displays title 'THE SITTER' which does not match catalog film 'Darkness Wakes'.,37,0.0,tt4697228,/2FX9OYyzASYXmwzyKyd7sHDVtpZ.jpg
495015,Post Human: An Event,Post Human: An Event,2017,Antihuman,"The poster clearly shows the title 'Antihuman', which does not match the catalog film 'Post Human: An Event'.",ANTIHUMAN,Poster clearly shows title 'ANTIHUMAN' which does not match catalog film 'Post Human: An Event'.,40,0.0,tt4450562,/1zWAZQfZenHUlLvkC3ojQyT1b8V.jpg
496586,The Call Girls,The Call Girls,2017,,"The image shows a person wearing a uniform with a logo, not related to the film 'The Call Girls'.",,"Image shows a person wearing a uniform with 'SANITATION SERVICES' and a reindeer logo, not a horror movie poster for 'The Call Girls'.",78,0.0,tt6734668,/wwxySfIEL0TzNMFXuWCvzM559W5.jpg
502613,M Is for Manure,M Is for Manure,2013,ABCs of Death,"The poster clearly displays the title 'ABCs of Death', which does not match the catalog film 'M Is for Manure'.",ABCs of Death,"Poster clearly shows 'ABCs of Death' title, not 'M Is for Manure' which was only a segment in that anthology.",29,0.0,tt3294508,/7EzEoCRIFNVDwpWRt18xVg1sxrm.jpg
526144,Prisoners of the Dead,Prisoners of the Dead,2011,The Final Night and Day,Poster title does not match catalog film title.,The Final Night and Day,Poster clearly shows title 'The Final Night and Day' which does not match catalog entry 'Prisoners of the Dead'.,41,0.25,tt1754629,/3loFRaNrsrvBSaVICYpbtXJd4GB.jpg
527782,Mushroom,Ki-No-Ko,2001,ART OF SILENT HILL,"The poster clearly states 'ART OF SILENT HILL', which does not match the catalog film 'Mushroom'.",ART OF SILENT HILL,"Poster clearly shows 'ART OF SILENT HILL' title, which is a different franchise from the Japanese film 'Mushroom/Ki-No-Ko' (2001).",31,0.0,,/gyueC9h9dkPCmSu5uI9JUcqyrMR.jpg
529744,Princess: Voices from Hell,Princess: Voices from Hell,2017,The Roman Cycle,"The poster clearly shows a different title and theme, unrelated to the horror genre.",The Roman Cycle / Der Römische Zyklus,Poster clearly shows 'Eckhart Schmidt The Roman Cycle' which is a completely different film from 'Princess: Voices from Hell'.,127,0.0,tt7665190,/gig9VBz0jtxU2DPlbEscHq2pEY4.jpg
531393,Reindeer Games,Reindeer Games,1996,The Girl in the Basement,"The poster clearly shows a different title, 'The Girl in the Basement', which does not match 'Reindeer Games'.",The Girl in the Basement,Poster clearly shows title 'THE GIRL IN THE BASEMENT' which does not match catalog entry 'Reindeer Games' from 1996.,145,0.0,tt0234583,/39owLICTyBVgXqwkruapLT6tStr.jpg
532813,Sublimate,Sublimate,2017,TONE DEATH,"The poster clearly shows the title 'TONE DEATH', which does not match the catalog film 'Sublimate'.",TONE DEATH,Poster clearly displays title 'TONE DEATH' which does not match catalog entry 'Sublimate'.,250,0.0,tt6642840,/Ak9hs6yU4QksKPA2RmBAAwjRq0A.jpg
543901,P.O.E. Pieces of Eldritch (P.O.E. 3),P.O.E. Pieces of Eldritch (P.O.E. 3),2014,House of Ravens,"The poster clearly shows the title 'House of Ravens', which does not match the catalog film 'P.O.E. Pieces of Eldritch (P.O.E. 3)'.",House of Ravens,Poster clearly shows title 'House of Ravens' which does not match the catalog entry 'P.O.E. Pieces of Eldritch'.,35,0.3333,tt3890934,/ifx0vnVrnl5XXLn7phxaXAiXq4i.jpg
549646,Diggerz: Black Lung Rises,Diggerz: Black Lung Rises,2019,13 SOULS,"The poster clearly shows a different title, '13 SOULS', which does not match the catalog film 'Diggerz: Black Lung Rises'.",13 SOULS,Poster clearly displays title '13 SOULS' which does not match catalog film 'Diggerz: Black Lung Rises'.,30,0.0,tt5781458,/9FMzuQORECkh8rDHCYbQCWoUySo.jpg
